"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate6_BC26","huDistalExp1_plate6_BC26","H1N1",0.251067858777059,0.165843162815647,0.179135885268981,0.219051243938405,0.141709286593475,0.125286865682282,0.260452925406586
"huDistalExp1_plate6_BC22","huDistalExp1_plate6_BC22","H1N1",0.145132341210392,0.115904047127789,0.123626735221576,0.126470520979558,0.248630388159681,0.140220292021747,0.192426041000803
"huDistalExp1_plate6_BC59","huDistalExp1_plate6_BC59","H1N1",0.0918906728224806,0.217978903657497,-0.0395797439455591,0.23383572618227,0.163832369667061,0.00392326654341602,0.0189500114306641
"huDistalExp1_plate6_BC60","huDistalExp1_plate6_BC60","H1N1",0.18916506748385,-0.0205639003577928,-0.00756195645400332,-0.0422957829782067,-0.0380553771222678,-0.132257217991401,-0.0289513858828451
"huDistalExp1_plate6_BC87","huDistalExp1_plate6_BC87","H1N1",0.225109191442349,0.125739841568259,0.0771054876999336,0.189090996859518,0.250199569731016,-0.0218688933764586,0.0775373740140594
"huDistalExp1_plate6_BC73","huDistalExp1_plate6_BC73","H1N1",0.221437406631616,0.22585838343605,0.283414468700003,0.142509747569124,0.329910770271161,0.068247330790589,0.212391316101149
"huDistalExp1_plate6_BC29","huDistalExp1_plate6_BC29","H1N1",0.211376014372188,0.389118885261417,0.0226008793141416,0.252693858403786,0.282768395064496,0.1636896627152,0.161197096510166
"huDistalExp1_plate6_BC77","huDistalExp1_plate6_BC77","H1N1",-0.0893523840457734,0.26316184520031,0.103536410423208,0.0958475930420063,0.0410757342974523,0.0423040272386401,0.0660683938580796
"huDistalExp1_plate7_BC16","huDistalExp1_plate7_BC16","H1N1",-0.100852115713657,-0.101828709736114,-0.0599968996359189,-0.0739357798562387,-0.00168193637374248,-0.271057917016511,-0.270948824754441
"huDistalExp1_plate7_BC52","huDistalExp1_plate7_BC52","H1N1",-0.128892989070151,-0.0812788229822287,-0.111393153645845,-0.0387327843154393,0.0609428512734824,-0.0706749480979508,-0.156979692432515
"huDistalExp1_plate7_BC45","huDistalExp1_plate7_BC45","H1N1",0.257613769987171,0.266957959026326,0.221375255579095,0.109371287987084,0.148138400683549,-0.0971755435026213,0.0328760319477638
"huDistalExp1_plate7_BC40","huDistalExp1_plate7_BC40","H1N1",0.0521705437148183,0.167741452284862,-0.117668104735786,-0.0678875809919139,-0.0380474729927642,0.0457850815037741,0.112026873196789
"huDistalExp1_plate7_BC55","huDistalExp1_plate7_BC55","H1N1",-0.188707079677543,-0.05790938384279,-0.0739689620141848,0.0742690245381217,-0.159753634998504,-0.15570665471372,-0.091013022302347
"huDistalExp1_plate7_BC20","huDistalExp1_plate7_BC20","H1N1",0.25485140569195,0.101395406537074,-0.0311274176662869,-0.0849398216409101,0.0022949379945939,-0.0942910936726152,0.0794039219059712
"huDistalExp1_plate7_BC70","huDistalExp1_plate7_BC70","H1N1",-0.0871530707097041,0.169132869151957,0.0381929049639275,0.0895250176181341,0.130013798596414,-0.036226478728932,-0.0747914808900358
"huDistalExp1_plate7_BC57","huDistalExp1_plate7_BC57","H1N1",0.0179771667643792,0.183098480412984,-0.101754128914353,0.0878892324335425,0.0372197551117288,0.109945813988785,0.194658986892155
"huDistalExp1_plate7_BC58","huDistalExp1_plate7_BC58","H1N1",-0.0275070628553685,0.12038377600183,-0.0881529475663054,0.19481029646961,-0.0917983669218009,0.0320193447571564,-0.0489786302779671
"huDistalExp1_plate7_BC88","huDistalExp1_plate7_BC88","H1N1",0.0686824482096908,0.124603166987075,0.131157286508769,0.0435576616160582,-0.162450668981119,-0.137375648516301,-0.0826098890576576
"huDistalExp1_plate7_BC1","huDistalExp1_plate7_BC1","H1N1",0.0799264111114804,0.232373981330597,-0.0405007647724501,0.132048203943645,-0.094513954000077,-0.0366772546716383,-0.156306726772036
"huDistalExp1_plate7_BC46","huDistalExp1_plate7_BC46","H1N1",-0.0928814707995571,0.080501870387452,-0.079283252720508,0.104333603042347,0.0893408524162265,-0.0705557450212203,-0.10935974459691
"huDistalExp1_plate7_BC56","huDistalExp1_plate7_BC56","H1N1",0.0272636705299618,0.199940804660728,0.0774265727411283,0.295640265768568,0.0675673838966432,0.140876756174796,0.0907252391171581
"huDistalExp1_plate7_BC37","huDistalExp1_plate7_BC37","H1N1",0.103550812592143,0.206533328173575,-0.0251258738642019,0.129560838727921,0.139669741815493,0.0545654508813487,0.0849990817087967
"huDistalExp1_plate7_BC66","huDistalExp1_plate7_BC66","H1N1",-0.00959298131451491,0.0100443346811909,-0.0869273978108336,-0.0927115970448914,-0.0254400440530566,-0.152019100696681,-0.143757917485399
"huDistalExp1_plate7_BC13","huDistalExp1_plate7_BC13","H1N1",-0.0709555780483498,-0.053490300644371,-0.187096894621439,0.0377552412626387,0.0329110522842154,-0.0972688624277642,0.12484787973707
"huDistalExp1_plate7_BC61","huDistalExp1_plate7_BC61","H1N1",-0.165356134811857,-0.0267573095571516,0.134082525426898,-0.0572098097301416,0.0408913135389101,0.0418059056415008,-0.05799432103183
